what,where,why,how,when,text,id
,,,,,"Sykipot may use net group ""domain admins"" directory to display accounts in the ""domain admins"" permissions group and net localgroup ""administrators"" to list local system administrator group membership.", T1087 
list,local system administrator group membership,,,,"Sykipot may use net group ""domain admins"" directory to display accounts in the ""domain admins"" permissions group and net localgroup ""administrators"" to list local system administrator group membership.", T1087 
used,net user,conduct internal discovery systems,,,Threat Group-3390 has used net user to conduct internal discovery of systems., T1087 
conduct,internal discovery systems,,,,Threat Group-3390 has used net user to conduct internal discovery of systems., T1087 
collects,users system,,,,TrickBot collects the users of the system., T1087 
known,APT3,,,,APT3 has been known to add created accounts to local admin groups to maintain elevated access., T1098 
add,created accounts,local admin groups,,,APT3 has been known to add created accounts to local admin groups to maintain elevated access., T1098 
created,accounts,,,,APT3 has been known to add created accounts to local admin groups to maintain elevated access., T1098 
maintain,elevated access,,,,APT3 has been known to add created accounts to local admin groups to maintain elevated access., T1098 
adds,permissions remote logins,users,,,Calisto adds permissions and remote logins to all users., T1098 
added,newly created accounts,administrators group,,,Dragonfly 2.0 added newly created accounts to the administrators group to maintain elevated access., T1098 
created,accounts,,,,Dragonfly 2.0 added newly created accounts to the administrators group to maintain elevated access., T1098 
maintain,elevated access,,,,Dragonfly 2.0 added newly created accounts to the administrators group to maintain elevated access., T1098 
contains,function attempts rename administrator?õ????s account,,,,Lazarus Group malware WhiskeyDelta-Two contains a function that attempts to rename the administrator?õ????s account., T1098 
attempts,rename administrator?õ????s account,,,,Lazarus Group malware WhiskeyDelta-Two contains a function that attempts to rename the administrator?õ????s account., T1098 
rename,administrator?õ????s account,,,,Lazarus Group malware WhiskeyDelta-Two contains a function that attempts to rename the administrator?õ????s account., T1098 
granted,Magic Hound,,,,Magic Hound granted compromised email accounts read access to the email boxes of additional targeted accounts., T1098 
compromised,email accounts,,,,Magic Hound granted compromised email accounts read access to the email boxes of additional targeted accounts., T1098 
read,access email boxes additional targeted accounts,,,,Magic Hound granted compromised email accounts read access to the email boxes of additional targeted accounts., T1098 
targeted,accounts,,,,Magic Hound granted compromised email accounts read access to the email boxes of additional targeted accounts., T1098 
authenticate,intended victim 's OWA portal,,,,The group then was able to authenticate to the intended victim's OWA   portal and read hundreds of email communications for information on Middle East organizations., T1098 
intended,victim,,,,The group then was able to authenticate to the intended victim's OWA   portal and read hundreds of email communications for information on Middle East organizations., T1098 
read,hundreds email communications,information Middle East organizations,,,The group then was able to authenticate to the intended victim's OWA   portal and read hundreds of email communications for information on Middle East organizations., T1098 
extended,The Mimikatz credential dumper,include Skeleton Key domain controller authentication bypass functionality,,,The Mimikatz credential dumper has been extended to include Skeleton Key domain controller authentication bypass functionality., T1098 
include,Skeleton Key domain controller authentication bypass functionality,,,,The Mimikatz credential dumper has been extended to include Skeleton Key domain controller authentication bypass functionality., T1098 
manipulate,password hash account,,without knowing clear text value,,The LSADUM :ChangeNTLM and LSADUM :SetNTLM modules can also manipulate the password hash of an account without knowing the clear text value., T1098 
knowing,clear text value,,,,The LSADUM :ChangeNTLM and LSADUM :SetNTLM modules can also manipulate the password hash of an account without knowing the clear text value., T1098 
used,Skeleton Key,patch enterprise domain controller authentication process backdoor password,,,Skeleton Key is used to patch an enterprise domain controller authentication process with a backdoor password., T1098 
patch,enterprise domain controller authentication process backdoor password,,,,Skeleton Key is used to patch an enterprise domain controller authentication process with a backdoor password., T1098 
allows,adversaries bypass standard authentication system use defined password accounts authenticating domain controller,,,,It allows adversaries to bypass the standard authentication system to use a defined password for all accounts authenticating to that domain controller., T1098 
bypass,standard authentication system,,,,It allows adversaries to bypass the standard authentication system to use a defined password for all accounts authenticating to that domain controller., T1098 
use,defined password,accounts authenticating domain controller,,,It allows adversaries to bypass the standard authentication system to use a defined password for all accounts authenticating to that domain controller., T1098 
defined,password,,,,It allows adversaries to bypass the standard authentication system to use a defined password for all accounts authenticating to that domain controller., T1098 
authenticating,domain controller,,,,It allows adversaries to bypass the standard authentication system to use a defined password for all accounts authenticating to that domain controller., T1098 
based,implant,,,,Honeybee's service-based DLL implant can execute a downloaded file with parameters specified using CreateProcessAsUser., T1182 
execute,downloaded file,,parameters specified using CreateProcessAsUser,,Honeybee's service-based DLL implant can execute a downloaded file with parameters specified using CreateProcessAsUser., T1182 
downloaded,file,,,,Honeybee's service-based DLL implant can execute a downloaded file with parameters specified using CreateProcessAsUser., T1182 
specified,parameters,,,,Honeybee's service-based DLL implant can execute a downloaded file with parameters specified using CreateProcessAsUser., T1182 
using,CreateProcessAsUser,,,,Honeybee's service-based DLL implant can execute a downloaded file with parameters specified using CreateProcessAsUser., T1182 
establish,using AppCertDLLs Registry key,,,,PUNCHBUGGY can establish using a AppCertDLLs Registry key., T1182 
using,AppCertDLLs Registry key,,,,PUNCHBUGGY can establish using a AppCertDLLs Registry key., T1182 
use,Some variants Cherry Picker,"achieve persistence creating following Registry ke Windows "" AppInit_DLLs""=""pserver32 """,,,"Some variants of Cherry Picker use AppInit_DLLs to achieve persistence by creating the following Registry ke      Windows ""AppInit_DLLs""=""pserver32 """, T1103 
achieve,persistence,,"creating following Registry ke Windows "" AppInit_DLLs""=""pserver32",,"Some variants of Cherry Picker use AppInit_DLLs to achieve persistence by creating the following Registry ke      Windows ""AppInit_DLLs""=""pserver32 """, T1103 
creating,Some variants Cherry Picker,,,,"Some variants of Cherry Picker use AppInit_DLLs to achieve persistence by creating the following Registry ke      Windows ""AppInit_DLLs""=""pserver32 """, T1103 
following,Registry ke Windows,,,,"Some variants of Cherry Picker use AppInit_DLLs to achieve persistence by creating the following Registry ke      Windows ""AppInit_DLLs""=""pserver32 """, T1103 
meets,victim,,,,"If a victim meets certain criteria, T9000 uses the AppInit_DLL functionality to achieve persistence by ensuring that every user mode process that is spawned will load its malicious DLL, ResN32 .", T1103 
uses,T9000,"achieve persistence ensuring every user mode process spawned load malicious DLL , ResN32",,,"If a victim meets certain criteria, T9000 uses the AppInit_DLL functionality to achieve persistence by ensuring that every user mode process that is spawned will load its malicious DLL, ResN32 .", T1103 
achieve,persistence,,"ensuring every user mode process spawned load malicious DLL , ResN32",,"If a victim meets certain criteria, T9000 uses the AppInit_DLL functionality to achieve persistence by ensuring that every user mode process that is spawned will load its malicious DLL, ResN32 .", T1103 
ensuring,T9000,,,,"If a victim meets certain criteria, T9000 uses the AppInit_DLL functionality to achieve persistence by ensuring that every user mode process that is spawned will load its malicious DLL, ResN32 .", T1103 
spawned,every user mode process,,,,"If a victim meets certain criteria, T9000 uses the AppInit_DLL functionality to achieve persistence by ensuring that every user mode process that is spawned will load its malicious DLL, ResN32 .", T1103 
,,,,,"If a victim meets certain criteria, T9000 uses the AppInit_DLL functionality to achieve persistence by ensuring that every user mode process that is spawned will load its malicious DLL, ResN32 .", T1103 
creating,following Registry key ?õ???? directory,,,,It does this by creating the following Registry key        ?õ???? directory, T1103 
following,Registry key,,,,It does this by creating the following Registry key        ?õ???? directory, T1103 
uses,AppleScript,create login item persistence,,,Dok uses AppleScript to create a login item for persistence., T1155 
create,Dok,,,,Dok uses AppleScript to create a login item for persistence., T1155 
used,several malicious applications abused OAuth access tokens,"gain access target email accounts , including Gmail Yahoo Mail",,,"APT28 has used several malicious applications that abused OAuth access tokens to gain access to target email accounts, including Gmail and Yahoo Mail.", T1527 
abused,OAuth access tokens,"gain access target email accounts , including Gmail Yahoo Mail",,,"APT28 has used several malicious applications that abused OAuth access tokens to gain access to target email accounts, including Gmail and Yahoo Mail.", T1527 
gain,"access target email accounts , including Gmail Yahoo Mail",,,,"APT28 has used several malicious applications that abused OAuth access tokens to gain access to target email accounts, including Gmail and Yahoo Mail.", T1527 
target,email accounts,,,,"APT28 has used several malicious applications that abused OAuth access tokens to gain access to target email accounts, including Gmail and Yahoo Mail.", T1527 
including,Gmail Yahoo Mail,several malicious applications abused OAuth access tokens gain access target email accounts,,,"APT28 has used several malicious applications that abused OAuth access tokens to gain access to target email accounts, including Gmail and Yahoo Mail.", T1527 
compromised,McAfee ePO,move laterally distributing malware software deployment task,,,APT32 compromised McAfee ePO to move laterally by distributing malware as a software deployment task., T1017 
,,,distributing malware software deployment task,,APT32 compromised McAfee ePO to move laterally by distributing malware as a software deployment task., T1017 
distributing,malware,,,,APT32 compromised McAfee ePO to move laterally by distributing malware as a software deployment task., T1017 
used,application shim databases,,,,FIN7 has used application shim databases for persistence., T1138 
obtains,Catchamas,,,,Catchamas obtains application windows titles and then determines which windows to perform Screen Capture on., T1010 
determines,windows perform Screen Capture,,,,Catchamas obtains application windows titles and then determines which windows to perform Screen Capture on., T1010 
perform,Screen Capture,,,,Catchamas obtains application windows titles and then determines which windows to perform Screen Capture on., T1010 
,,,,,The discovery modules used with Duqu can collect information on open windows., T1010 
collect,information,,,,The discovery modules used with Duqu can collect information on open windows., T1010 
opened,windows,,,,Kazuar gathers information about opened windows., T1010 
obtains,Lazarus Group malware IndiaIndia,,,,Lazarus Group malware IndiaIndia obtains and sends to its C2 server the title of the window for each running process., T1010 
sends,Lazarus Group malware IndiaIndia,C2 server,,,Lazarus Group malware IndiaIndia obtains and sends to its C2 server the title of the window for each running process., T1010 
running,process,,,,Lazarus Group malware IndiaIndia obtains and sends to its C2 server the title of the window for each running process., T1010 
reports,The KilaAlfa keylogger,,,,The KilaAlfa keylogger also reports the title of the window in the foreground., T1010 
saves,window names,,,,Machete saves the window names., T1010 
reports,NetTraveler,provide application context,,,NetTraveler reports window names along with keylogger information to provide application context., T1010 
provide,application context,,,,NetTraveler reports window names along with keylogger information to provide application context., T1010 
opened,windows,,,,njRAT gathers information about opened windows during the initial infection., T1010 
captures,PoisonIvy,,,,PoisonIvy captures window titles., T1010 
get,text current foreground window,,,,PowerDuke has a command to get text of the current foreground window., T1010 
capture,active windows machine,,,,Remexi has a command to capture active windows on the machine and retrieve window titles., T1010 
retrieve,Remexi,,,,Remexi has a command to capture active windows on the machine and retrieve window titles., T1010 
enumerating,application windows,,,,SOUNDBITE is capable of enumerating application windows., T1010 
enumerate,active windows,,,,WINERACK can enumerate active windows., T1010 
used,APT37,,,,APT37 has used an audio capturing utility known as SOUNDWAVE that captures microphone input., T1123 
known,audio capturing utility,,,,APT37 has used an audio capturing utility known as SOUNDWAVE that captures microphone input., T1123 
captures,microphone input,,,,APT37 has used an audio capturing utility known as SOUNDWAVE that captures microphone input., T1123 
capturing,audio,,,,Bandook has modules that are capable of capturing audio., T1123 
perform,voice recording,,,,Cobian RAT has a feature to perform voice recording on the victim?õ????s machine., T1123 
listen,victims ' conversations,,system?õ????s microphone,,DarkComet can listen in to victims' conversations through the system?õ????s microphone., T1123 
performing,audio captures,,,,Derusbi is capable of performing audio captures., T1123 
capture,microphone data,,,,DOGCALL can capture microphone data from the victim's machine., T1123 
capture,audio victim machine,,,,EvilGrab has the capability to capture audio from a victim machine., T1123 
record,audio,,using existing hardware recording devices,,Flame can record audio using any existing hardware recording devices., T1123 
using,existing hardware recording devices,,,,Flame can record audio using any existing hardware recording devices., T1123 
existing,hardware recording devices,,,,Flame can record audio using any existing hardware recording devices., T1123 
record,sound,,using input audio devices,,InvisiMole can record sound using input audio devices., T1123 
using,input audio devices,,,,InvisiMole can record sound using input audio devices., T1123 
captured,audio,,,,Janicab captured audio and sent it out to a C2 server., T1123 
sent,Janicab,C2 server,,,Janicab captured audio and sent it out to a C2 server., T1123 
capture,microphone recordings,,,,jRAT can capture microphone recordings., T1123 
captures,audio,,,,Machete captures audio from the computer?õ????s microphone., T1123 
record,sounds,,,,MacSpy can record the sounds from microphones on a computer., T1123 
perform,microphone recording,,,,Micropsia can perform microphone recording., T1123 
capture,audio feeds,,,,NanoCore can capture audio feeds from the system., T1123 
record,system microphone audio,,,,PowerSploit's Get-MicrophoneAudio Exfiltration module can record system microphone audio., T1123 
record,sound,,microphone,,Pupy can record sound with the microphone., T1123 
capture,data,,,,Remcos can capture data from the system?õ????s microphone., T1123 
uses,Skype API,record audio video calls,,,T9000 uses the Skype API to record audio and video calls., T1123 
record,audio video calls,,,,T9000 uses the Skype API to record audio and video calls., T1123 
writes,encrypted data,directory,,,It writes encrypted data to directory, T1123 
encrypted,data,,,,It writes encrypted data to directory, T1123 
perform,audio capture,,,,VERMIN can perform audio capture., T1123 
use,Windows Authentication Packages,,,,Flame can use Windows Authentication Packages for persistence., T1131 
used,batch script,perform series discovery techniques,,,APT1 used a batch script to perform a series of discovery techniques and saves it to a text file., T1119 
