id,bow
t1209,modifying service unit files
t1215,hiding files
t1215,hiding processes
t1215,hiding network activity
t1215,hiding log tampering
t1215,hiding authenticated backdoors
t1215,hiding root access
t1215,providing files
t1215,providing processes
t1215,providing network activity
t1215,providing log tampering
t1215,providing authenticated backdoors
t1215,providing root access
t1215,enabling files
t1215,enabling processes
t1215,enabling network activity
t1215,enabling log tampering
t1215,enabling authenticated backdoors
t1215,enabling root access
t1182, createprocess
t1182, createprocessasuser
t1182, createprocesswithloginw
t1182, createprocesswithtokenw
t1182, winexec
t1182,loaded and run malicious dll
t1158 ,writing pathname
t1013,performing path
t1013,performing path
t1034,named windows program
t1034,creating program
t1034,placing it program
t1034,using utilities
t1034,interact services
t1034,modifying registry
t1034,using name
t1034,created services
t1034,executed services
t1179,intercept code
t1179,execute code
t1179,modifications process Import address table IAT
t1179,overwrites first bytes
t1181,returning execution  control
